;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Agenda;2;0;0;5;0;0;0;0;0;5;0;0;0;5;0
Alarme;0;0;0;6;0;6;0;0;5;1;0;0;0;0;0
AlloCine;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Calculatrice;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Google;3;0;0;7;0;7;0;3;0;0;0;0;0;0;0
Drive;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0
E-mail;3;0;0;7;0;7;0;0;0;0;0;0;0;0;0
Facebook;0;0;0;7;0;7;1;0;0;0;0;0;0;0;0
Gmail;0;0;0;7;0;7;0;0;0;0;0;0;0;0;0
Mes fichiers;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0
Musique;0;6;0;2;6;0;0;0;0;6;0;1;5;0;0
Notes;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Photoshop;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0
Skype;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0
SMS;5;6;0;7;7;0;0;0;5;7;4;7;7;7;2
Telephone;5;6;1;7;6;0;0;0;0;5;2;5;0;0;2
Word;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
YouTube;0;0;0;7;0;7;0;0;0;0;0;0;3;5;2
