;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone GalaxyS3
Agenda;2;0;0;0;2;0;0;0;0;0;0;0;0;0
Alarme;0;5;0;5;0;5;0;0;0;0;0;0;0;5
Candy Crush;2;0;0;0;2;0;0;1;0;1;0;0;0;2
Dropbox;2;5;0;5;4;0;2;0;0;2;2;0;3;9
Ebay;0;2;2;2;2;2;0;0;0;0;2;0;0;4
Facebook;5;7;0;9;5;2;3;2;0;0;7;0;2;14
Facebook messenger;2;5;3;5;5;0;0;1;1;0;8;0;2;10
Gestion de taches;0;3;0;3;0;0;0;0;0;0;3;0;0;3
Gmail;7;0;3;0;10;2;3;1;2;1;1;0;0;10
Google Play Store;0;2;0;2;0;0;0;0;2;0;0;0;0;2
Instagram;1;3;0;3;1;0;0;0;0;1;3;0;0;4
Google;3;5;5;5;8;2;5;0;0;2;3;2;0;13
LaBanquePostale;0;0;2;0;2;2;0;0;0;0;0;0;0;2
Lecteur video;0;0;5;0;5;0;0;0;0;0;5;0;0;5
LizLisa;3;1;0;1;3;0;2;1;0;0;1;0;0;4
Mise a jour logicielle;0;3;0;3;0;0;0;0;0;0;3;0;0;3
Notes;1;1;0;1;1;0;1;0;0;0;0;0;1;2
PagesJaunes;0;0;0;0;2;0;0;0;0;2;0;0;0;2
Tumblr;1;5;1;5;2;0;1;0;1;0;3;2;0;8
Wordpress;0;2;0;2;0;0;0;0;0;0;0;2;2;2
YouTube;0;4;2;4;2;0;0;0;0;3;1;2;2;6
