;University;Home;Transportation;Library;Home Wifi;Network 3G;Morning;Afternoon;Evening;Night;Weekend
Adobe Reader;2;5;9;2;0;0;0;0;0;0;0
Alarme;0;6;0;0;0;0;0;0;0;6;2
Appareil photo;7;9;0;0;0;0;2;0;14;0;0
Astro;0;6;2;0;0;0;0;0;0;0;0
Calculatrice;4;0;0;0;0;0;0;4;0;0;0
Google;107;30;0;10;30;117;0;20;0;0;0
E-mail;33;26;7;9;0;46;0;0;0;0;0
Flappy Bird;38;5;15;0;0;0;24;20;0;0;0
Google Play Store;2;5;0;0;0;2;0;2;0;0;0
Instagram;3;2;0;0;0;5;0;0;5;0;0
Maps;3;0;9;0;0;12;0;0;0;0;0
Need For Speed;0;0;6;0;0;0;0;0;0;0;0
Parametres;5;11;2;0;0;0;0;0;0;0;0
Skype;0;7;0;0;0;0;0;0;0;0;0
SMS;0;0;0;0;7;0;0;0;7;0;0
Subway Surfer;4;24;7;0;0;0;0;0;31;0;0
Twitter;17;29;0;0;29;17;0;0;34;0;0
Viber;0;8;0;0;5;3;0;0;8;0;0
YouTube;4;13;0;2;13;6;0;8;15;0;13
