;University;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Tablet;Memory 16G
9GAG;14;0;0;0;0;14;0;7;0;0;5;2;0;0;1;13
Alarme;0;0;7;0;0;7;7;0;0;0;0;0;0;0;0;0
Appareil photo;4;1;5;0;0;0;0;3;0;0;4;3;0;2;0;10
Calculatrice;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
E-mail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
Facebook;30;0;0;10;0;40;0;10;7;8;15;0;0;5;5;35
Gmail;16;0;7;5;0;28;0;12;0;0;12;4;0;4;0;28
Google Play Store;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Instagram;0;0;4;0;0;4;0;0;0;0;0;4;0;0;0;4
Lecteur video;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
Mes fichiers;7;0;7;0;0;14;0;1;1;0;14;0;0;7;0;14
Mise a jour logicielle;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Notes;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1
Parametres;0;0;3;0;0;3;0;0;0;0;0;3;0;1;0;3
SMS;30;0;45;15;0;90;0;10;7;10;13;30;20;20;0;90
Telephone;4;0;7;3;0;14;0;2;0;0;2;7;0;3;0;14
Tumblr;21;0;0;2;0;23;0;7;1;6;10;0;0;0;0;23
YouTube;3;0;7;0;7;3;0;2;0;0;3;5;0;0;7;3
