;University;Train station;Cinema;Restaurant;Home;Transportation;Library;Home Wifi;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Iphone
Agenda;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3
Alarme;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0
AlloCine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
Angry Birds;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Appareil photo;3;0;0;1;1;0;0;0;0;0;2;0;0;0;0;3;10
Calculatrice;2;1;0;1;2;0;0;0;0;0;2;0;0;0;0;3;6
E-mail;3;0;1;1;6;0;2;6;3;6;6;0;0;6;6;2;6
Facebook;3;6;2;1;6;6;2;6;3;0;6;0;0;6;6;2;6
Gestion de taches;2;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0
Leboncoin;0;0;0;0;6;0;0;7;0;0;0;0;0;0;6;2;4
Lecteur video;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Maps;3;2;0;0;4;0;0;3;2;0;0;0;0;2;2;2;0
Mes fichiers;2;0;0;0;0;0;0;0;0;0;0;0;0;2;15;0;0
Mise a jour logicielle;1;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0
netBeans;0;0;0;0;0;0;0;0;0;0;1;2;2;3;7;3;0
nike;0;0;0;0;4;0;0;4;0;0;0;0;0;0;4;1;2
pap.fr;0;0;0;0;5;0;0;6;0;0;0;0;0;0;5;2;2
pgAdmin III;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0
Skype;3;0;0;0;7;0;1;3;3;0;7;0;0;6;6;2;0
SMS;17;12;4;2;28;7;4;0;0;0;3;0;0;8;32;12;95
Telephone;3;6;0;0;6;6;2;0;1;6;6;0;0;0;6;2;0
World;3;0;0;0;6;0;2;0;0;0;3;0;0;3;4;2;0
YouTube;3;0;0;0;6;0;1;6;1;0;0;0;0;1;6;4;5
