;University;Train station;Cinema;Restaurant;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung
8tracks;2;2;0;0;3;3;3;5;0;2;0;5;0;0;5;0;0;1
Alarme;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;1
AlloCine;5;0;2;0;10;0;10;0;2;5;0;4;0;3;10;0;0;1
Appareil photo;2;0;0;2;10;0;0;0;0;0;0;0;2;0;12;0;0;1
AppyGeek;2;1;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;1
Boost eclair;5;10;0;0;20;0;20;10;0;5;0;0;0;0;0;0;0;1
Google;20;10;0;5;50;5;50;20;20;0;0;30;0;20;40;0;0;1
Eurosport;20;10;0;0;40;5;40;15;0;20;0;5;0;0;5;0;0;1
Facebook;20;10;2;2;20;0;20;14;1;20;0;5;0;5;30;10;0;1
Flappy Bird;2;5;1;0;12;0;0;0;0;0;0;2;0;3;15;0;0;1
Gestion de taches;5;10;0;0;20;0;0;0;0;0;0;10;0;10;15;0;10;1
Gestionnaire de depenses;3;0;0;3;5;0;5;3;0;3;0;0;4;0;7;0;0;1
Gmail;15;10;0;0;30;0;30;10;0;15;0;15;0;15;25;0;0;1
Google Play Store;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;1
HorairesMey;0;5;0;0;0;5;0;10;0;0;5;5;0;0;0;0;0;1
IMDb;5;0;2;0;5;0;5;0;2;5;0;5;0;0;7;0;0;1
Instagram;20;5;0;3;20;0;20;8;1;20;0;15;5;10;18;0;0;1
LCL Mobile;3;0;1;1;2;0;2;2;0;3;0;0;4;0;3;0;0;1
Maps;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;4;1
Mes fichiers;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Notes;10;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;1
PagesJaunes;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;1
Parametres;10;5;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;1
Runtastic;0;0;0;0;4;0;0;4;0;0;0;1;0;0;3;0;1;1
SMS;50;50;0;0;100;20;0;220;0;0;0;0;0;0;0;0;0;1
SnapChat;30;30;1;3;200;4;200;34;0;30;0;50;20;80;120;0;0;1
So Foot;4;6;0;0;4;4;4;10;0;4;0;6;4;0;4;0;0;1
Spotify;0;10;0;0;18;10;18;20;0;0;0;10;0;0;28;0;0;1
Telephone;5;5;0;0;20;3;0;33;0;0;0;0;8;0;25;0;0;1
Twitter;15;20;1;2;30;0;30;20;1;15;0;20;0;20;20;8;0;1
YouTube;4;0;0;0;30;6;30;1;1;2;0;0;0;10;30;0;0;1
