;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Memory 16G;Street;Computer
Alarme;0;0;0;0;0;7;0;0;0;0;0;0;7;0;0
Appareil photo;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0
Candy Crush;9;15;9;0;0;0;0;9;9;0;9;6;33;0;0
Google;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Flappy Bird;9;15;9;0;0;0;0;9;9;0;9;6;33;0;0
Gmail;0;18;0;18;0;7;0;0;0;0;7;4;18;0;0
Google Play Store;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0
livescore;0;20;0;20;0;0;0;0;0;0;8;12;20;0;0
Maps;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0
Navigation;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Parametres;0;32;0;0;0;14;0;0;0;7;7;4;32;0;0
RunKeeper;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
SMS;24;20;0;0;44;7;7;7;7;7;7;2;44;0;0
