;University;Home;Transportation;Home Wifi;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Agenda;3;0;0;0;0;0;0;0;0;3;0;0
Appareil photo;0;10;0;0;0;0;0;0;0;3;7;3
Calculatrice;1;0;0;0;0;0;0;0;0;1;0;0
Calendrier;6;1;0;0;0;0;0;0;0;6;1;0
Google;11;6;0;6;11;0;3;0;2;6;6;2
E-mail;19;4;0;4;19;0;6;0;4;9;4;0
Facebook;18;3;0;3;18;0;7;0;2;9;3;0
Gmail;8;0;0;8;8;3;0;1;4;0;0;0
Google Play Store;1;2;0;2;1;0;0;0;1;0;2;1
Lecteur video;1;1;1;0;0;0;1;0;1;0;1;0
Maps;0;0;0;0;0;0;0;0;0;0;0;0
Mes fichiers;1;0;0;0;0;0;0;0;0;0;1;0
Mise a jour logicielle;2;3;0;3;2;0;1;0;0;1;3;1
Notes;0;9;0;9;0;0;0;0;0;0;9;3
Parametres;9;0;0;0;0;0;2;0;1;3;3;0
Telephone;1;3;0;0;0;0;0;0;1;0;3;3
SMS;50;30;3;0;0;8;13;0;10;27;22;14
YouTube;2;0;0;0;2;0;0;0;2;0;0;0
