;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend
Agenda;5;2;0;2;2;1;1;1;0;1;0;0
Alarme;0;1;0;1;0;1;0;0;0;0;0;0
Appareil photo;0;0;0;0;0;0;0;0;0;0;0;1
Banque;1;1;0;1;2;0;0;0;1;0;1;1
Bbc news;2;0;0;0;2;0;1;0;1;0;0;0
Calculatrice;1;0;0;0;1;0;1;0;0;0;0;0
Drive;2;0;0;0;2;0;1;0;1;0;0;0
E-mail;3;1;0;1;3;0;1;1;1;1;0;0
Facebook;2;1;0;0;2;0;1;0;1;0;0;0
Facebook Messenger;4;2;0;2;4;1;1;1;1;1;0;1
Framework des services Google;0;0;0;0;0;0;0;0;0;0;0;0
Google;3;2;0;2;3;0;1;1;1;1;1;0
Maps;0;0;1;0;2;0;0;0;0;1;0;1
Meteo;0;1;0;1;0;1;0;0;0;0;0;0
Mise a jour logicielle;0;1;0;1;0;0;0;0;0;0;0;0
seriesaddict;0;3;0;3;0;0;0;0;0;1;1;1
SMS;3;3;0;3;3;1;1;1;1;1;1;0
SnapChat;3;3;0;3;4;1;1;1;1;1;1;1
Telephone;0;0;0;0;0;0;0;1;0;1;0;0
Twitter;2;3;0;3;2;1;1;0;1;1;1;0
WhatsApp;3;3;0;3;3;1;1;1;1;1;1;0
