;University;Train station;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Alarme;0;0;7;0;0;0;7;0;0;0;0;0;0;0
AlloCine;2;0;0;0;2;0;0;0;0;0;2;0;0;0
App Store;0;0;2;0;0;0;0;1;0;0;0;1;0;0
Appareil photo;0;0;5;0;0;0;0;0;0;0;0;5;0;0
Calculatrice;2;0;1;0;0;0;0;1;0;0;2;0;0;1
Calendrier;5;0;3;0;0;0;0;2;0;0;6;0;0;1
Dans ton chat;0;0;10;0;7;3;0;10;0;0;0;0;0;0
Documents;6;0;13;0;0;0;0;5;0;2;1;11;0;0
Eurosport;5;0;14;0;10;9;0;10;0;0;7;2;0;2
Facebook;3;0;5;1;5;3;0;2;0;1;0;5;0;3
Flappy Bird;5;0;2;0;0;0;0;5;0;0;0;2;0;0
Gmail;7;0;10;0;8;9;0;8;0;2;0;7;0;1
Google;6;0;15;0;15;6;0;2;3;3;5;5;3;10
Instagram;3;0;1;0;0;4;0;3;0;0;0;1;0;0
iTranslate;0;0;6;0;2;4;0;0;0;0;0;6;0;1
JeuxVideo.com;2;0;8;0;3;7;0;10;0;0;0;0;0;0
Lecteur video;0;0;1;0;0;0;0;0;0;0;0;1;0;1
Mise a jour logicielle;0;0;1;0;1;0;0;0;0;0;1;0;0;1
Musique;0;0;20;22;0;0;0;11;0;0;11;18;2;13
NBA 2K14;0;0;3;0;0;0;0;0;0;0;0;3;0;1
Notes;0;0;1;0;0;0;0;0;0;0;0;0;1;1
Ratp;0;0;5;3;0;8;0;5;0;0;3;0;0;0
SFR mon compte;2;0;0;0;0;0;0;0;0;0;2;0;0;0
SMS;60;5;117;4;0;0;0;40;0;12;61;45;31;68
SnapChat;19;0;7;0;15;11;0;11;0;4;5;6;0;4
SNCF Direct;0;0;5;0;0;5;0;5;0;0;0;0;0;0
So Foot;2;0;4;0;0;6;0;4;0;0;0;2;0;0
Telephone;0;0;9;3;0;0;0;1;0;0;2;9;0;8
Transdev IDF;0;0;5;6;0;11;0;5;0;0;6;0;0;0
Tumblr;7;0;23;0;21;9;0;7;0;0;3;20;0;14
Twitter;22;0;30;0;15;37;0;9;0;5;20;17;1;30
YouTube;0;0;7;0;3;4;0;0;0;0;0;7;0;0
