;University;Train station;Restaurant;Street;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Memory 32G
20minute-android;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0
9GAG;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alarme;0;0;0;0;7;0;0;0;7;0;0;0;0;0;0;0;7;7
Echec;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
E-mail;7;0;0;0;0;7;0;14;7;0;0;7;0;0;0;0;14;14
Facebook;4;0;0;0;0;6;0;10;0;2;0;0;5;3;0;2;10;10
Flappy Bird;10;14;0;0;5;14;0;0;0;8;0;10;7;7;0;3;19;19
Google;5;0;0;0;1;3;0;9;0;0;0;0;6;3;0;0;9;9
Google Play Store;3;0;0;0;0;0;0;3;0;2;0;1;0;0;0;0;3;3
Mes fichiers;3;0;0;0;7;10;0;0;10;0;0;4;6;7;0;0;20;20
Meteo;0;0;0;0;7;0;0;7;0;7;0;0;0;0;0;0;7;7
Musique;0;24;0;0;0;24;0;0;0;10;0;3;7;4;3;8;24;24
Ratp;0;0;0;2;0;0;0;1;0;0;0;0;0;1;1;1;2;2
Shazam;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1
SMS;80;0;0;0;76;104;0;0;6;54;31;15;69;85;0;108;260;260
SnapChat;15;0;0;0;0;6;0;0;0;5;0;0;5;4;2;3;21;21
Sudoku;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2
Telephone;0;3;0;0;5;2;0;0;0;0;0;0;4;6;0;3;10;10
Tinder;3;1;0;0;0;1;0;4;0;1;0;0;3;0;0;0;4;4
YouTube;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;1
