;University;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G;Smartphone Samsung
Agenda;3;0;2;0;3;2;0;1;0;1;2;1;0;2;5;5
Alarme;0;0;9;0;6;3;7;0;0;0;0;2;0;4;9;9
Appareil photo;1;0;3;0;1;3;0;0;0;1;3;0;0;2;4;4
Drive;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0
Facebook;83;2;8;24;8;109;5;20;4;15;47;21;5;64;117;117
Gestion de taches;28;0;13;0;13;28;6;6;6;6;6;6;5;15;41;41
Gmail;34;0;17;8;17;42;6;5;7;8;5;18;10;31;59;59
Google;17;1;5;2;20;5;0;2;0;5;0;15;3;6;25;25
Maps;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;2
Mes fichiers;2;0;5;0;5;2;0;2;0;4;0;1;0;0;7;7
SMS;47;0;39;12;12;45;0;3;1;6;25;47;16;63;98;98
Telephone;2;0;7;1;7;3;0;1;0;0;3;6;0;3;10;10
