;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung
Appareil photo;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
Calculatrice;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
Google;4;0;0;3;1;3;5;0;0;0;0;0;0;0;0;0;8
Drive;3;0;0;1;1;1;4;0;0;0;0;2;2;1;0;0;0
E-mail;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Facebook;5;0;0;2;4;2;5;4;0;1;0;3;3;3;1;1;11
Flipboard;0;0;0;4;3;4;3;0;0;0;0;2;1;2;2;1;7
Gmail;6;0;0;1;1;1;3;0;0;1;0;3;3;0;1;1;8
Google Play Store;0;0;0;2;0;2;0;0;0;0;0;0;0;1;1;0;2
Instagram;5;0;1;5;5;5;11;0;0;0;2;3;4;7;0;2;16
Jelly Splash;3;0;0;4;2;0;0;0;0;0;0;3;2;3;1;2;9
Keep;2;0;0;2;0;2;2;0;0;2;0;0;0;1;1;0;4
NBA GM;5;0;0;6;3;5;9;0;0;0;0;1;2;8;4;3;14
Parametres;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1
SMS;12;6;1;14;8;0;0;0;3;4;0;9;14;9;4;8;28
SnapChat;4;0;0;3;1;3;5;0;0;2;0;1;1;2;2;0;8
WeChat;1;0;0;4;5;4;6;0;0;0;0;1;0;7;2;1;10
YouTube;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1
