;University;Restaurant;Home;Network 3G;Univ Wifi;Morning;Coffe break;Lunch break;Afternoon;Weekend
Agenda;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Drive;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
E-mail;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Facebook;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
SMS;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Telephone;0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
