;University;Train station;Home;Transportation;Home Wifi;Early Morning;Morning;Lunch break;Afternoon;Evening
Alarme;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
AlloCine;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Gmail;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Notes;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Photoshop;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
Skype;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
SMS;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Word;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
