;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone GalaxyS3
Agenda;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Candy Crush;1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Dropbox;1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 
Ebay;0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
Facebook;1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 
Facebook messenger;1; 1; 1; 1; 1; 0; 0; 1; 1; 0; 1; 0; 1; 1; 
Gestion de taches;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Gmail;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
Google Play Store;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
Instagram;1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
Google;1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 
LaBanquePostale;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Lecteur video;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
LizLisa;1; 1; 0; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 1; 
Mise a jour logicielle;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Notes;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
PagesJaunes;0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
Tumblr;1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 
Wordpress;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
YouTube;0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
