;University;Train station;Restaurant;Home;Transportation;Company;Library;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Iphone;Tablet;Memory 16G
Agenda;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Alarme;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 
Angry Birds;0; 0; 1; 0; 0; 1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Appareil photo;0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calculatrice;0; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calendrier;0; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Earth;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Gestion de taches;0; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Gmail;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Google;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Google Play Store;0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Google+;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
IMDb;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Jeux Android avec connexion;0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
Jeux Android sans connexion;0; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Lecteur video;0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Maps;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Mes fichiers;0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Meteo;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Mise a jour logicielle;0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Parametres;0; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Polaris Office;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
Quran;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Samsung Apps;0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Skype;0; 1; 1; 0; 1; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
SMS;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Telephone;0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
World;0; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
YouTube;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
