;Home Wifi;Network 3G;Smartphone Iphone;Tablet;Memory 16G
Agenda;0; 0; 1; 1; 0; 
Angry Birds;1; 0; 0; 1; 0; 
Appareil photo;0; 0; 1; 1; 0; 
Calculatrice;0; 0; 1; 1; 0; 
Calendrier;0; 0; 1; 1; 0; 
Earth;0; 0; 1; 1; 0; 
E-mail;0; 0; 1; 1; 0; 
Facebook;0; 0; 1; 1; 0; 
Gestion de taches;0; 0; 1; 1; 0; 
Gmail;0; 0; 1; 1; 0; 
Google;0; 0; 1; 1; 0; 
Google Play Store;0; 0; 0; 1; 0; 
IMDb;0; 0; 1; 1; 0; 
Jeux Android avec connexion;0; 0; 0; 1; 0; 
Jeux Android sans connexion;0; 0; 1; 1; 0; 
Lecteur video;0; 0; 1; 1; 0; 
Maps;0; 0; 1; 1; 0; 
Mes fichiers;0; 0; 0; 0; 1; 
Meteo;0; 0; 1; 1; 0; 
Mise a jour logicielle;0; 0; 1; 1; 0; 
Parametres;0; 0; 1; 1; 0; 
Polaris Office;0; 0; 0; 1; 0; 
Quran;0; 0; 1; 1; 0; 
Samsung Apps;0; 0; 0; 1; 0; 
Skype;0; 0; 0; 1; 0; 
SMS;0; 1; 1; 0; 0; 
Telephone;0; 0; 1; 0; 0; 
World;0; 0; 0; 1; 0; 
YouTube;0; 0; 1; 1; 0; 
