;University;Train station;Restaurant;Home;Transportation;Company;Library;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend
Angry Birds;1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Calendrier;1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Earth;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
E-mail;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Gestion de taches;1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Gmail;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
Google Play Store;1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
Jeux Android avec connexion;1; 0; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
Jeux Android sans connexion;1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 
Lecteur video;1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
Maps;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
Meteo;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Mise a jour logicielle;1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Parametres;1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Polaris Office;1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
Quran;1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Samsung Apps;1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
Skype;1; 0; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
SMS;1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
Telephone;1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
World;1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 
YouTube;1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
