;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Alarme;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 
Appareil photo;1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
BNP PARIBAS;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Google;1; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 0; 
E-mail;0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 
Facebook;0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 
Skype;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
SMS;0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
SnapChat;1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 
Spotify;1; 0; 1; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 0; 
Twitter;0; 1; 0; 0; 0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
