;University;Home;Transportation;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night
Appareil photo;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
BNP PARIBAS;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
E-mail;0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 
Facebook;0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 
Skype;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
SMS;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 
Spotify;0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 
Twitter;0; 1; 0; 1; 1; 0; 1; 0; 1; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
