;University;Home;Transportation;Library;Home Wifi;Network 3G;Morning;Afternoon;Evening;Night;Weekend
Adobe Reader;0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 
Alarme;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
Appareil photo;0; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
Astro;1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 
Google;0; 0; 1; 0; 0; 0; 1; 0; 1; 1; 1; 
E-mail;0; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 
Flappy Bird;0; 0; 0; 1; 1; 1; 0; 0; 1; 1; 1; 
Google Play Store;0; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
Instagram;0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
Maps;0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 
Need For Speed;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Parametres;0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Skype;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
SMS;1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 
Subway Surfer;0; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
Twitter;0; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 
Viber;1; 0; 1; 1; 0; 0; 1; 1; 0; 1; 1; 
YouTube;0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 
