;University;Train station;Cinema;Restaurant;Home;Transportation;Street;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
4 images 1 mot;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
AlloCine;0; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
Appareil photo;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Facebook;0; 1; 1; 0; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 
Flappy Bird;1; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 
Gmail;1; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 
Google Play Store;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Instagram;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 1; 
Lecteur video;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
LINE;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Maps;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Mes fichiers;0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
Meteo;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 1; 
Mise a jour logicielle;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
Photos;1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 1; 0; 0; 
Ratp;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 
Shazam;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
SMS;0; 1; 0; 0; 1; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 1; 
SnapChat;1; 1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 
Translate;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 
Twitter;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 
WeChat;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 
WhatsApp;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 
Wifi Analyzer;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
