;University;Cinema;Restaurant;Street;Home Wifi;Morning;Lunch break;Afternoon;Weekend
4 images 1 mot;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 0; 0; 0; 0; 1; 0; 0; 0; 
Appareil photo;0; 0; 0; 1; 0; 0; 0; 0; 0; 
Gmail;0; 1; 1; 0; 0; 0; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 0; 0; 1; 1; 
Lecteur video;0; 0; 0; 0; 1; 0; 0; 0; 0; 
LINE;0; 0; 0; 0; 0; 1; 1; 0; 0; 
Maps;1; 0; 0; 0; 0; 1; 0; 0; 0; 
Meteo;0; 0; 0; 0; 0; 1; 0; 0; 0; 
Mise a jour logicielle;1; 0; 0; 0; 1; 0; 0; 0; 0; 
Musique;0; 0; 0; 1; 0; 0; 0; 0; 0; 
Parametres;0; 0; 0; 0; 0; 0; 0; 1; 0; 
Shazam;0; 0; 1; 0; 0; 0; 0; 1; 0; 
Telephone;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Translate;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Twitter;0; 0; 0; 0; 0; 1; 0; 0; 0; 
WhatsApp;0; 0; 0; 0; 0; 1; 0; 0; 0; 
Wifi Analyzer;0; 0; 0; 0; 0; 0; 0; 1; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 1; 0; 
