;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend
Agenda;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 1; 
Alarme;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
Appareil photo;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Banque;0; 0; 1; 0; 0; 1; 1; 1; 0; 1; 0; 0; 
Bbc news;0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 
Calculatrice;0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
Drive;0; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 
E-mail;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
Facebook;0; 0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 
Facebook Messenger;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Framework des services Google;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Google;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
Maps;1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 0; 
Meteo;1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
Mise a jour logicielle;1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
seriesaddict;1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
SMS;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
SnapChat;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
Twitter;0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
WhatsApp;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
