;Home;Home Wifi;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend
Agenda;1; 0; 1; 1; 1; 0; 1; 0; 0; 
Banque;0; 1; 0; 0; 0; 1; 0; 1; 1; 
Bbc news;0; 0; 0; 1; 0; 1; 0; 0; 0; 
Drive;0; 0; 0; 1; 0; 1; 0; 0; 0; 
E-mail;1; 1; 0; 1; 1; 1; 1; 0; 0; 
Facebook;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Facebook Messenger;0; 0; 1; 1; 1; 1; 1; 0; 1; 
Google;0; 0; 0; 1; 1; 1; 1; 1; 0; 
Maps;0; 0; 0; 0; 0; 0; 1; 0; 1; 
seriesaddict;0; 0; 0; 0; 0; 0; 1; 1; 1; 
SMS;0; 0; 1; 1; 1; 1; 1; 1; 0; 
SnapChat;0; 0; 1; 1; 1; 1; 1; 1; 1; 
Twitter;0; 0; 1; 1; 0; 1; 1; 1; 0; 
WhatsApp;0; 0; 1; 1; 1; 1; 1; 1; 0; 
