;University;Train station;Restaurant;Home;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Sony;Computer
Agenda;0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
Alarme;1; 1; 1; 0; 1; 1; 1; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
Appareil photo;0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 
Drive;0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 
E-mail;0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 
Facebook;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 0; 
Freebox Mobile;0; 1; 1; 0; 0; 0; 1; 1; 0; 1; 1; 1; 0; 0; 0; 0; 
Gmail;1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 
Google;0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 
Google Play Store;0; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 
Maps;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
Mes fichiers;0; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 
Mise a jour logicielle;0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 
Skype;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
SMS;0; 1; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Telephone;0; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 1; 
Viber;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 
World;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
YouTube;1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
