;University;Restaurant;Home;Home Wifi;Network 3G;Smartphone Sony;Computer
Agenda;0; 0; 1; 0; 1; 1; 1; 
Alarme;0; 0; 1; 0; 0; 1; 1; 
Appareil photo;0; 0; 0; 0; 0; 1; 0; 
Calculatrice;0; 0; 0; 0; 0; 0; 1; 
Drive;0; 0; 1; 0; 0; 0; 1; 
E-mail;1; 0; 0; 0; 0; 1; 1; 
Facebook;0; 0; 1; 0; 0; 0; 1; 
Freebox Mobile;0; 0; 1; 1; 0; 0; 1; 
Gmail;0; 0; 1; 1; 0; 0; 1; 
Google;0; 0; 1; 1; 0; 0; 1; 
Google Play Store;0; 1; 0; 1; 0; 0; 1; 
Maps;1; 0; 0; 0; 1; 1; 0; 
Mes fichiers;1; 0; 1; 0; 0; 1; 0; 
Mise a jour logicielle;1; 0; 0; 0; 1; 1; 0; 
Skype;0; 0; 1; 1; 0; 0; 1; 
SMS;0; 0; 1; 1; 0; 1; 0; 
Telephone;0; 0; 1; 0; 0; 1; 0; 
Viber;0; 0; 1; 1; 0; 1; 0; 
World;0; 0; 1; 0; 0; 0; 1; 
YouTube;0; 0; 1; 1; 0; 0; 1; 
