;University;Home;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Evening;Weekend;Smartphone Sony;Computer
Agenda;0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 1; 
Alarme;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Appareil photo;1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Drive;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Freebox Mobile;1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
Google;0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 
Maps;1; 0; 0; 1; 0; 0; 0; 0; 1; 1; 0; 
Mes fichiers;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Skype;0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
SMS;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
Viber;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
World;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
YouTube;0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
