;University;Home;Restaurant;Transportation;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone NokiaLumia
ABC Transport;1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 1; 
Alarme;1; 0; 1; 1; 1; 1; 1; 0; 0; 0; 0; 
AlloCine;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
Appareil photo;1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 0; 
Bing Spoort;0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 
E-mail;0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
Facebook;0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 
Google;1; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 
Lequipe;0; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 
Meteo;0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 
Musique;1; 0; 1; 1; 1; 1; 0; 0; 1; 0; 1; 
Parametres;0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 
Shazam;1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 
SMS;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
SnapChat;0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
Telephone;0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 1; 
Twitter;0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 
Windows store;0; 0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
YouTube;1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 
