;University;Home;Restaurant;Transportation;Morning;Lunch break;Afternoon;Evening;Night;Weekend
ABC Transport;0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 
Alarme;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
Bing Spoort;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
E-mail;1; 0; 0; 0; 1; 1; 1; 1; 0; 1; 
Facebook;0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Lequipe;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Meteo;1; 1; 0; 0; 0; 0; 1; 1; 0; 1; 
Musique;0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
Parametres;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Shazam;0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
SMS;1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 
Telephone;1; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
Twitter;0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 
Windows store;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
