;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Actualites;0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 
AlloCine;0; 1; 1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 0; 
Appareil photo;0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 1; 1; 0; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Calendrier;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
Google;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 
Facebook;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Flappy Bird;0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 0; 
Freebox Mobile;0; 1; 1; 0; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
Google Play Store;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Instagram;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Lecteur video;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Mes fichiers;0; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
Meteo;0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 
Notes;0; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 
Parametres;0; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 
Ratp;1; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 
SMS;0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 0; 
SnapChat;0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 
WeChat;0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 1; 0; 
YouTube;1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 0; 
