;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Memory 16G
Actualites;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
AlloCine;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Appareil photo;0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
Google;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
Facebook;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 1; 
Flappy Bird;0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 1; 
Freebox Mobile;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Gmail;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 1; 
Google Play Store;0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 1; 1; 
Instagram;0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 
Lecteur video;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 
Meteo;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
Notes;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 1; 
Ratp;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 1; 
SMS;0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 1; 
SnapChat;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 1; 
WeChat;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
