;Restaurant;Transportation;Early Morning;Coffe break;Lunch break;Night;Weekend;Memory 16G
Actualites;0; 0; 1; 1; 0; 0; 0; 1; 
Google;0; 0; 0; 0; 0; 1; 1; 1; 
Facebook;1; 0; 1; 0; 0; 1; 0; 1; 
Flappy Bird;0; 1; 0; 0; 0; 0; 0; 1; 
Gmail;1; 0; 0; 0; 1; 1; 1; 1; 
Google Play Store;1; 0; 1; 0; 1; 0; 0; 1; 
Instagram;1; 1; 0; 0; 1; 1; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 1; 1; 
Meteo;0; 0; 1; 1; 0; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 0; 1; 
SMS;1; 0; 0; 1; 1; 0; 0; 1; 
SnapChat;1; 0; 0; 0; 1; 0; 1; 1; 
WeChat;0; 0; 0; 0; 0; 0; 1; 1; 
YouTube;0; 0; 0; 0; 0; 0; 1; 1; 
