;University;Train station;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Afternoon;Evening
Actualites;1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 
AlloCine;0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
Appareil photo;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Google;0; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 
Facebook;1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
Flappy Bird;1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 
Freebox Mobile;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Gmail;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Google Play Store;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 
Instagram;1; 0; 1; 0; 1; 1; 0; 1; 1; 1; 1; 
Lecteur video;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Mes fichiers;1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Meteo;1; 0; 1; 1; 1; 1; 0; 0; 0; 0; 0; 
Notes;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
Parametres;1; 0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 
Ratp;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 
SMS;1; 1; 1; 0; 0; 0; 0; 1; 0; 1; 0; 
SnapChat;1; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 
WeChat;1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 
YouTube;0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 
