;University;Train station;Home;Transportation;Home Wifi;Network 3G;Morning;Afternoon;Evening
Actualites;0; 0; 1; 1; 1; 1; 0; 0; 0; 
AlloCine;0; 0; 1; 0; 0; 0; 1; 0; 0; 
Appareil photo;1; 0; 0; 0; 0; 0; 1; 0; 0; 
Facebook;0; 0; 1; 1; 1; 1; 0; 1; 1; 
Flappy Bird;1; 0; 1; 0; 1; 1; 0; 0; 1; 
Freebox Mobile;1; 0; 0; 0; 0; 1; 0; 0; 0; 
Gmail;0; 1; 1; 1; 1; 1; 0; 1; 1; 
Google Play Store;0; 0; 1; 0; 1; 1; 0; 0; 1; 
Instagram;0; 0; 1; 0; 1; 1; 0; 1; 1; 
Lecteur video;0; 0; 1; 0; 0; 0; 0; 0; 0; 
Mes fichiers;0; 0; 1; 1; 0; 0; 0; 0; 0; 
Meteo;0; 0; 1; 1; 1; 1; 0; 0; 0; 
Notes;1; 0; 1; 0; 0; 0; 0; 0; 0; 
Parametres;0; 0; 1; 1; 0; 0; 0; 0; 0; 
Ratp;0; 0; 1; 0; 1; 1; 0; 0; 0; 
SMS;0; 1; 1; 0; 0; 0; 0; 1; 0; 
SnapChat;1; 0; 0; 0; 0; 1; 0; 1; 0; 
WeChat;0; 0; 1; 0; 1; 1; 0; 0; 1; 
