;University;Home;Transportation;Home Wifi;Early Morning;Morning;Coffe break;Afternoon;Evening;Weekend;Memory 16G
Actualites;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calendrier;1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Google;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Facebook;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Flappy Bird;0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 
Freebox Mobile;0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Gmail;1; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 
Instagram;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Meteo;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Notes;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
Parametres;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Ratp;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
SMS;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
SnapChat;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
WeChat;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
