;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Afternoon;Evening;Weekend;Memory 16G
Actualites;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 
AlloCine;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 
Appareil photo;0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 1; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calendrier;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Google;1; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 
Facebook;1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 
Flappy Bird;1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 1; 1; 0; 
Freebox Mobile;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 
Gmail;1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 0; 
Instagram;1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 
Lecteur video;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Meteo;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 
Notes;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 1; 1; 1; 
Parametres;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 0; 
Ratp;0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 1; 
SMS;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 
SnapChat;0; 0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 1; 0; 0; 
WeChat;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
YouTube;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 
