;University;Restaurant;Home;Transportation;Home Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Actualites;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
AlloCine;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
Calendrier;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Facebook;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
Flappy Bird;0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
Freebox Mobile;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Gmail;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 
Google Play Store;0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 1; 
Instagram;0; 1; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 1; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Meteo;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
Notes;0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
Ratp;0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 1; 
SMS;0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
SnapChat;0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 
WeChat;0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
