;University;Train station;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Afternoon;Evening;Weekend;Memory 16G
Actualites;1; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 
AlloCine;0; 0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 0; 
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Google;0; 1; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 
Facebook;1; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 
Flappy Bird;1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
Freebox Mobile;1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Gmail;1; 1; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 
Instagram;1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 0; 0; 
Lecteur video;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Mes fichiers;0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Meteo;1; 0; 1; 1; 0; 0; 0; 0; 0; 1; 1; 1; 0; 
Notes;1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Parametres;1; 0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Ratp;0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
SMS;1; 1; 1; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 
SnapChat;0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 
WeChat;1; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
