;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Weekend
Alarme;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
AlloCine;1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 
Appareil photo;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
BBM;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
BNP PARIBAS;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
E-mail;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Instagram;1; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
Maps;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Photos;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
SMS;1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 
SnapChat;0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 
Twitter;1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
WhatsApp;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
