;University;Train station;Home;Transportation;Home Wifi;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
App Store;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 
Calculatrice;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
Calendrier;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 
Dans ton chat;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Documents;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Eurosport;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Facebook;0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Flappy Bird;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Gmail;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
Google;0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 
Instagram;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
iTranslate;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 
JeuxVideo.com;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Musique;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
NBA 2K14;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Ratp;0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
SMS;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 
So Foot;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Telephone;0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
Transdev IDF;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Tumblr;1; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 
Twitter;0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 
YouTube;0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
