;University;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Afternoon;Evening;Night;Weekend
Alarme;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
AlloCine;1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
App Store;0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 
Appareil photo;0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Calculatrice;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Calendrier;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Dans ton chat;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Documents;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Eurosport;1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 
Facebook;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 
Gmail;1; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 
Google;1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 
Instagram;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
iTranslate;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
JeuxVideo.com;0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Lecteur video;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
Musique;0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 
NBA 2K14;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Notes;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Ratp;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
SFR mon compte;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
SMS;1; 0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 
SnapChat;0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 
SNCF Direct;0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
So Foot;0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Telephone;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
Transdev IDF;0; 1; 1; 0; 0; 0; 1; 1; 0; 0; 0; 
Tumblr;1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 
Twitter;1; 0; 0; 1; 0; 0; 0; 1; 1; 0; 1; 
YouTube;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
