;University;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Tablet;Memory 16G
9GAG;0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 
Alarme;1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Appareil photo;0; 0; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
E-mail;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Facebook;0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 
Gmail;0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 
Google Play Store;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Instagram;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 0; 
Lecteur video;0; 1; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 
Mes fichiers;0; 1; 0; 1; 1; 0; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 
Mise a jour logicielle;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Notes;0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
Parametres;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 
SMS;0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Telephone;0; 1; 0; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 0; 1; 0; 
Tumblr;0; 1; 1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 1; 0; 
YouTube;0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 
