;University;Home;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Weekend;Memory 16G
9GAG;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Alarme;0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
Appareil photo;1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Gmail;0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 
Google Play Store;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Instagram;0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 
Lecteur video;1; 0; 1; 0; 0; 1; 0; 0; 0; 1; 
Mes fichiers;1; 1; 0; 0; 0; 0; 0; 0; 1; 0; 
Mise a jour logicielle;0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 
Notes;1; 0; 1; 0; 1; 0; 0; 0; 0; 1; 
SMS;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Telephone;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
Tumblr;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
