;University;Restaurant;Home;Transportation;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
9GAG;0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 
Appareil photo;0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 
Facebook;0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 
Gmail;0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 0; 1; 
Mes fichiers;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
Parametres;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
SMS;0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
Telephone;1; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 
Tumblr;0; 0; 0; 1; 0; 1; 1; 1; 1; 0; 0; 0; 
YouTube;1; 0; 0; 0; 1; 1; 0; 0; 1; 1; 0; 0; 
