;University;Home;Transportation;Home Wifi;Network 3G;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Tablet
Alarme;1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 0; 0; 1; 
Appareil photo;1; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 
Calculatrice;0; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Candy Crush;0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 1; 
E-mail;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Facebook;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Firefox;0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 0; 1; 
Flappy Bird;0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 0; 
Flipboard;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Gestion de taches;0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Gmail;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Google Now;0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 1; 
Google Play Store;0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 1; 0; 0; 1; 
HFR4droid;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 1; 
JeuxVideo.com;1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 0; 1; 
Maps;0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 1; 0; 0; 1; 
Mes fichiers;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
Meteo;0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 
My Boy Free;0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 
News Republic;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Parametres;0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 0; 0; 
Safari;1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 1; 0; 
Shazam;1; 0; 1; 0; 1; 1; 1; 0; 0; 1; 1; 0; 0; 1; 
Skype;1; 0; 1; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 
SMS;0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
Telephone;0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 0; 1; 
Waze;1; 0; 1; 0; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
WeChat;0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 1; 
YouTube;0; 0; 1; 0; 0; 1; 1; 1; 0; 0; 1; 0; 0; 0; 
