;University;Home;Home Wifi;Network 3G;Lunch break;Afternoon;Evening;Weekend;Smartphone Samsung
Facebook;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Firefox;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Google Now;1; 0; 0; 0; 0; 0; 0; 0; 0; 
HFR4droid;0; 0; 0; 0; 0; 0; 1; 0; 0; 
JeuxVideo.com;0; 0; 0; 0; 0; 0; 1; 0; 0; 
Maps;1; 0; 0; 1; 0; 1; 0; 0; 0; 
Mes fichiers;1; 1; 0; 0; 0; 0; 0; 0; 1; 
My Boy Free;1; 1; 0; 0; 1; 0; 1; 0; 1; 
Parametres;0; 1; 0; 0; 0; 0; 0; 0; 1; 
SMS;1; 0; 0; 0; 0; 0; 0; 0; 0; 
Waze;0; 1; 1; 0; 0; 1; 0; 1; 1; 
WeChat;0; 0; 0; 0; 0; 0; 1; 0; 0; 
