;University;Home;Transportation;Home Wifi;Network 3G;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Samsung
Candy Crush;1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
E-mail;1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
Facebook;1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
Firefox;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Flappy Bird;0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 
Gestion de taches;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Gmail;1; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
Google Now;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google Play Store;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
HFR4droid;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 
JeuxVideo.com;0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 
Maps;1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
Mes fichiers;1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Meteo;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
My Boy Free;1; 1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 
Parametres;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
SMS;1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 
Telephone;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Waze;0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 
WeChat;0; 0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
