;University;Home;Home Wifi;Network 3G;Weekend;Smartphone Samsung;Tablet
Alarme;0; 1; 0; 0; 0; 1; 0; 
Appareil photo;0; 1; 0; 0; 0; 1; 0; 
Candy Crush;0; 0; 0; 1; 0; 1; 0; 
E-mail;0; 0; 1; 0; 0; 1; 0; 
Facebook;0; 0; 1; 0; 0; 1; 0; 
Firefox;0; 0; 0; 0; 0; 1; 0; 
Flappy Bird;0; 0; 0; 0; 0; 1; 0; 
Flipboard;0; 0; 1; 0; 0; 1; 0; 
Gestion de taches;0; 0; 0; 0; 0; 1; 0; 
Gmail;0; 0; 1; 0; 0; 1; 0; 
Google Now;0; 0; 0; 0; 0; 1; 0; 
Google Play Store;0; 0; 0; 0; 0; 1; 0; 
HFR4droid;0; 1; 1; 0; 0; 1; 0; 
JeuxVideo.com;0; 1; 1; 0; 0; 1; 0; 
Maps;0; 0; 0; 0; 0; 1; 0; 
Mes fichiers;0; 0; 0; 0; 0; 1; 0; 
Meteo;0; 0; 0; 0; 1; 1; 0; 
My Boy Free;0; 0; 0; 0; 0; 1; 0; 
News Republic;0; 0; 1; 0; 0; 1; 0; 
Parametres;1; 0; 0; 0; 0; 0; 1; 
Safari;0; 1; 0; 0; 0; 0; 1; 
Shazam;0; 1; 1; 0; 0; 1; 0; 
Skype;0; 1; 1; 0; 0; 1; 0; 
SMS;0; 0; 0; 0; 0; 1; 0; 
Telephone;0; 0; 0; 0; 0; 1; 0; 
Waze;0; 1; 1; 0; 0; 1; 0; 
WeChat;0; 1; 1; 0; 0; 1; 0; 
YouTube;0; 1; 1; 0; 0; 1; 0; 
