;University;Train station;Cinema;Restaurant;Home;Transportation;Library;Home Wifi;Univ Wifi;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Weekend;Smartphone Iphone
Agenda;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Alarme;1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
AlloCine;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
Angry Birds;1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Appareil photo;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
Calculatrice;0; 0; 1; 0; 0; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 0; 
E-mail;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Facebook;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 
Gestion de taches;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 
Leboncoin;1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
Lecteur video;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Maps;0; 0; 1; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 0; 0; 0; 1; 
Mes fichiers;0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 1; 1; 
Mise a jour logicielle;0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 1; 
netBeans;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
nike;1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
pap.fr;1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 0; 0; 
pgAdmin III;1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
Skype;0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 1; 
SMS;0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 
Telephone;0; 0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 1; 1; 1; 0; 0; 1; 
World;0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 0; 1; 1; 0; 0; 0; 1; 
YouTube;0; 1; 1; 1; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 
