;Train station;Home;Transportation;Home Wifi;Early Morning;Morning;Afternoon;Evening;Smartphone Iphone
Appareil photo;0; 0; 0; 0; 0; 0; 0; 0; 1; 
Calculatrice;0; 0; 0; 0; 0; 0; 0; 0; 1; 
E-mail;0; 1; 0; 1; 1; 1; 1; 1; 1; 
Facebook;1; 1; 1; 1; 0; 1; 1; 1; 1; 
Gestion de taches;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Leboncoin;0; 0; 0; 1; 0; 0; 0; 0; 0; 
Maps;0; 1; 0; 0; 0; 0; 0; 0; 0; 
Mes fichiers;0; 0; 0; 0; 0; 0; 0; 1; 0; 
Mise a jour logicielle;0; 1; 0; 0; 0; 0; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 0; 0; 1; 0; 
nike;0; 1; 0; 1; 0; 0; 0; 1; 0; 
pap.fr;0; 0; 0; 1; 0; 0; 0; 0; 0; 
Skype;0; 1; 0; 0; 0; 1; 1; 1; 0; 
SMS;0; 0; 0; 0; 0; 0; 0; 0; 1; 
Telephone;1; 1; 1; 0; 1; 1; 0; 1; 0; 
World;0; 1; 0; 0; 0; 0; 0; 0; 0; 
YouTube;0; 1; 0; 1; 0; 0; 0; 1; 0; 
