;University;Home;Home Wifi;Univ Wifi;Early Morning;Morning;Afternoon;Evening;Weekend;Smartphone Iphone
AlloCine;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Appareil photo;1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Calculatrice;0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
E-mail;0; 1; 1; 1; 0; 0; 0; 0; 0; 1; 
Facebook;0; 0; 1; 1; 0; 1; 1; 1; 0; 1; 
Gestion de taches;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Leboncoin;0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
Maps;0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
Mise a jour logicielle;0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
netBeans;0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
nike;0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
pap.fr;0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 
Skype;0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 
SMS;0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
Telephone;0; 0; 0; 1; 1; 1; 0; 1; 0; 0; 
World;0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
YouTube;0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 
