;University;Home;Home Wifi;Univ Wifi;Afternoon;Evening;Smartphone Iphone
AlloCine;0; 0; 0; 0; 0; 0; 1; 
Appareil photo;0; 0; 0; 0; 0; 0; 1; 
Calculatrice;0; 0; 0; 0; 0; 0; 1; 
E-mail;0; 0; 1; 0; 0; 0; 1; 
Facebook;0; 0; 1; 0; 0; 0; 1; 
Gestion de taches;0; 0; 0; 0; 0; 1; 0; 
Maps;0; 0; 1; 0; 0; 0; 0; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 
Mise a jour logicielle;0; 0; 0; 1; 1; 0; 0; 
netBeans;0; 0; 0; 0; 0; 1; 0; 
Skype;0; 1; 1; 1; 0; 0; 0; 
SMS;0; 0; 0; 0; 0; 1; 1; 
Telephone;0; 0; 0; 1; 0; 0; 0; 
World;0; 1; 0; 0; 0; 0; 0; 
YouTube;0; 0; 1; 0; 0; 0; 1; 
