;University;Train station;Restaurant;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung;Memory 32G
9GAG;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Alarme;0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 
Echec;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 
Facebook;1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Flappy Bird;1; 1; 0; 0; 1; 0; 0; 0; 1; 1; 1; 1; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
Mes fichiers;0; 0; 0; 1; 1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 
Meteo;0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 1; 1; 
Musique;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 
Shazam;0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 1; 
SMS;1; 0; 0; 1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 0; 0; 
SnapChat;0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 
Sudoku;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 
Telephone;0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Tinder;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
YouTube;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 
