;University;Train station;Home;Transportation;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
E-mail;1; 0; 0; 1; 1; 0; 0; 1; 0; 0; 0; 0; 
Facebook;1; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 1; 
Flappy Bird;1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 0; 1; 
Google;0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 0; 
Google Play Store;0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
Mes fichiers;1; 0; 1; 0; 0; 0; 0; 1; 1; 1; 0; 0; 
Musique;0; 0; 0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 
Ratp;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 
Shazam;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
SMS;0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 0; 0; 
SnapChat;0; 0; 0; 1; 0; 1; 0; 0; 1; 1; 1; 1; 
Telephone;0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 
Tinder;0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
