;University;Restaurant;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening;Night;Weekend
Agenda;0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 
Alarme;0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
Appareil photo;1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Facebook;0; 1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 
Gestion de taches;0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 
Gmail;0; 0; 0; 0; 0; 1; 1; 1; 1; 1; 0; 0; 0; 
Google;0; 1; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 
Mes fichiers;1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 
SMS;0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 0; 
Telephone;1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
