;University;Train station;Home;Transportation;Home Wifi;Network 3G;Early Morning;Morning;Coffe break;Lunch break;Afternoon;Evening
Alarme;1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 0; 
AlloCine;1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Angry Birds;0; 0; 1; 0; 1; 0; 1; 0; 1; 1; 0; 1; 
Calculatrice;0; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 
Drive;0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 
E-mail;1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 0; 1; 
Facebook;0; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 
Gestion de taches;0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Gmail;0; 1; 1; 1; 1; 0; 1; 0; 1; 0; 0; 1; 
Google;0; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 
Google Play Store;0; 1; 1; 1; 0; 0; 1; 1; 1; 0; 1; 1; 
Lecteur video;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
Mes fichiers;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
Mise a jour logicielle;1; 1; 1; 1; 0; 1; 1; 0; 0; 0; 0; 1; 
Radio;1; 0; 1; 0; 1; 1; 1; 0; 1; 0; 0; 1; 
SMS;0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 
Telephone;0; 0; 0; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
YouTube;1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 
