;University;Train station;Transportation;Home Wifi;Morning;Coffe break;Lunch break;Afternoon
AlloCine;0; 1; 0; 0; 0; 0; 0; 0; 
Angry Birds;1; 1; 0; 0; 0; 0; 0; 0; 
Calculatrice;1; 0; 0; 0; 1; 0; 0; 0; 
Facebook;1; 0; 0; 0; 0; 0; 0; 0; 
Gmail;0; 0; 0; 0; 1; 0; 0; 1; 
Google;1; 0; 0; 0; 1; 0; 0; 0; 
Lecteur video;0; 0; 1; 0; 0; 0; 0; 0; 
Mes fichiers;1; 0; 0; 1; 0; 0; 0; 0; 
Mise a jour logicielle;0; 0; 0; 1; 0; 1; 1; 1; 
Radio;0; 0; 0; 0; 1; 0; 0; 1; 
SMS;0; 0; 1; 0; 1; 0; 0; 1; 
YouTube;0; 0; 1; 0; 0; 0; 0; 0; 
