;University;Train station;Cinema;Restaurant;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Early Morning;Morning;Lunch break;Afternoon;Evening;Night;Weekend
8tracks;0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
Alarme;1; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 
AlloCine;0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 0; 1; 0; 0; 1; 1; 
Appareil photo;0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
AppyGeek;0; 0; 1; 1; 1; 1; 1; 0; 1; 0; 1; 0; 1; 1; 1; 1; 1; 
Boost eclair;0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 
Google;0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 1; 1; 
Eurosport;0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 0; 1; 1; 0; 1; 1; 
Facebook;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Flappy Bird;0; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 1; 
Gestion de taches;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 0; 1; 0; 0; 1; 0; 
Gestionnaire de depenses;0; 1; 1; 0; 0; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 
Gmail;0; 0; 1; 1; 0; 1; 0; 0; 1; 0; 1; 0; 1; 0; 0; 1; 1; 
Google Play Store;0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 1; 1; 1; 1; 0; 1; 1; 
HorairesMey;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 0; 0; 1; 1; 1; 1; 1; 
IMDb;0; 1; 0; 1; 0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 0; 1; 1; 
Instagram;0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 1; 
LCL Mobile;0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 1; 1; 0; 1; 0; 1; 1; 
Maps;1; 1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 0; 
Mes fichiers;0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Notes;0; 1; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
PagesJaunes;1; 1; 1; 1; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Parametres;0; 0; 1; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
Runtastic;1; 1; 1; 1; 0; 1; 1; 0; 1; 1; 1; 0; 1; 1; 0; 1; 0; 
SMS;0; 0; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 1; 1; 1; 1; 1; 
SnapChat;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 
So Foot;0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 
Spotify;1; 0; 1; 1; 0; 0; 0; 0; 1; 1; 1; 0; 1; 1; 0; 1; 1; 
Telephone;0; 0; 1; 1; 0; 0; 1; 0; 1; 1; 1; 1; 0; 1; 0; 1; 1; 
Twitter;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
YouTube;0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 1; 1; 
