;Cinema;Restaurant;Transportation;Public Wifi;Smartphone Samsung
8tracks;0; 0; 0; 0; 1; 
Alarme;0; 0; 0; 0; 1; 
AlloCine;0; 0; 0; 0; 1; 
Boost eclair;0; 0; 0; 0; 1; 
Google;0; 1; 1; 0; 1; 
Eurosport;0; 0; 0; 0; 1; 
Facebook;1; 1; 0; 1; 1; 
Gestion de taches;0; 0; 0; 0; 1; 
Gestionnaire de depenses;0; 0; 0; 0; 1; 
Gmail;0; 0; 0; 0; 1; 
Google Play Store;0; 0; 0; 0; 1; 
HorairesMey;0; 0; 0; 0; 1; 
IMDb;1; 0; 0; 1; 1; 
Instagram;0; 1; 0; 1; 1; 
LCL Mobile;1; 1; 0; 0; 1; 
Maps;0; 0; 0; 0; 1; 
Notes;0; 0; 0; 0; 1; 
PagesJaunes;0; 0; 0; 0; 1; 
Parametres;0; 0; 0; 0; 1; 
SMS;0; 0; 0; 0; 1; 
So Foot;0; 0; 0; 0; 1; 
Spotify;0; 0; 0; 0; 1; 
Telephone;0; 0; 0; 0; 1; 
Twitter;1; 1; 0; 1; 1; 
