;University;Train station;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Early Morning;Morning;Lunch break;Afternoon;Night;Weekend
8tracks;0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
AlloCine;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
Boost eclair;0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 1; 0; 0; 
Eurosport;0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Facebook;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 
Flappy Bird;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Gestion de taches;0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 
Gestionnaire de depenses;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Gmail;1; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 1; 0; 0; 
HorairesMey;0; 1; 0; 1; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 
Instagram;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
LCL Mobile;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 
Parametres;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
Twitter;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 
