;University;Train station;Home;Transportation;Home Wifi;Network 3G;Public Wifi;Univ Wifi;Morning;Lunch break;Afternoon;Evening;Night;Weekend;Smartphone Samsung
8tracks;0; 0; 1; 1; 1; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
Alarme;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 
AlloCine;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
AppyGeek;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 
Boost eclair;0; 1; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Google;1; 0; 0; 0; 0; 1; 1; 0; 1; 0; 1; 1; 0; 0; 0; 
Eurosport;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 
Facebook;1; 1; 1; 0; 1; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 
Flappy Bird;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Gestion de taches;0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Gestionnaire de depenses;0; 0; 1; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 
Gmail;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
Google Play Store;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 
IMDb;1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 
Instagram;1; 0; 1; 0; 1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 0; 
LCL Mobile;1; 0; 1; 0; 1; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 
Maps;0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 
Mes fichiers;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Notes;1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
PagesJaunes;0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 
Parametres;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Runtastic;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 
SMS;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
SnapChat;0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 0; 
So Foot;0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 0; 1; 0; 0; 0; 
Spotify;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Telephone;0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 
Twitter;1; 1; 0; 0; 0; 1; 0; 1; 1; 0; 1; 1; 0; 0; 0; 
YouTube;0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 
