;University;Restaurant;Home;Transportation;Network 3G;Early Morning;Morning;Afternoon;Evening;Weekend;Smartphone Iphone
Agenda;1; 0; 1; 1; 1; 0; 1; 0; 1; 1; 1; 
Alarme;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
App Store;1; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 
Appareil photo;0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 1; 
Calculatrice;1; 0; 0; 0; 0; 0; 1; 1; 0; 0; 1; 
Emoji Art;0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 
Facebook;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
Gmail;1; 1; 1; 1; 1; 0; 1; 1; 0; 0; 1; 
Mes fichiers;1; 0; 0; 1; 0; 0; 1; 1; 0; 0; 1; 
Meteo;1; 0; 1; 0; 1; 0; 1; 1; 0; 0; 1; 
Musique;0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 
Parametres;1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 
Quran;0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 1; 
Runtastic;0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 
Safari;1; 0; 0; 1; 1; 0; 1; 1; 0; 0; 1; 
SMS;1; 0; 1; 1; 0; 0; 1; 1; 0; 0; 1; 
Viber;0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 1; 
WhatsApp;1; 0; 1; 1; 1; 0; 1; 1; 1; 0; 1; 
YouTube;1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 
